Bunny ID,GRID,XYZ,Date XYZ On,XYZ Schedule,Time XYZ On,GPS ,Date GPS On,Time GPS On,GPS Schedule,GPS Delay,Frequency,Date on Bunny,Time on Bunny,Date Off Bunny,Time off Bunny,Date GPS OFF,Time GPS Off,GPS Dump?,Date XYZ Off,SigA Start,SigA End,SigB Start,SigB End,Time XYZ Off,XYZ Dump,Last Record Date,Notes
24143,Sulphur,HE,23-Jan-19,1,21:13:55,MP,23-Jan-19,21:14:25,15,,151.575,27-Jan-19,0:49,18-Feb-19,,18-Feb-19,19:35,,18-Feb-19,,,,,already off,,NA,"Dennis GPS, axy didn't work"
24306,Sulphur,CD,23-Jan-19,1,21:15:09,AO,23-Jan-19,21:15:34,15,,151.515,27-Jan-19,1:00,1-Mar-19,22:33,23-Jan-19,already off,,1-Mar-19,,,,,,,1-Mar-19,"GPS didn’t work, axy data can't be opened"
24498,Kloo,BZ,23-Jan-19,1,21:16:07,ME,23-Jan-19,21:16:34,15,,151.495,28-Jan-19,9:42,20-Feb-19,9:30,20-Feb-19,already off,,20-Feb-19,,,,,19:09,,20-Feb-19,"Dennis GPS, axy worked ell"
25049,Jo,JJ Alb,27-Jan-19,1,21:31:43,AZ,27-Jan-19,21:05:45,15,,150.435,27-Jan-19,23:21,18-Feb-19,18:00,18-Feb-19,19:46,,18-Feb-19,,,,,19:58,,18-Feb-19,axy worked well
24194,Chad Bear,HA,27-Jan-19,1,21:32:02,TD,27-Jan-19,21:03:16,15,,151.465,28-Jan-19,0:37,14-Feb-19,15:15,14-Feb-19,by 16:00,,14-Feb-19,,,,,already off,,2-Feb-19,"Dennis GPS, axy worked for only a couple of days"
Not Deployed,,2,27-Jan-19,1,21:32:33,HG,27-Jan-19,21:09:00,15,,149.645,,,,,,,,,,,,,,,,Dennis GPS
25682,Rolo,3,27-Jan-19,1,21:32:57,NH,27-Jan-19,21:12:50,15,,149.861,30-Jan-19,0:39,20-Feb-19,by 12:00,20-Feb-19,14:42,,20-Feb-19,,,,,15:30,,20-Feb-19,"Dennis GPS, axy worked well"
Not Deployed,,HB,29-Jan-19,1,20:37:42,NB,29-Jan-19,20:38:51,15,,149.34,,,,,,,,,,,,,,,,
25699,Kloo,BA,29-Jan-19,1,20:38:11,10,29-Jan-19,20:39:28,15,,149.079,30-Jan-19,0:50,25-Feb-19,by 20:00,25-Feb-19,21:21,,25-Feb-19,,,,,21:54,,25-Feb-19,axy worked well
25253,Chad Bear,ET,29-Jan-19,1,20:38:30,ZA,29-Jan-19,20:40:07,15,,149.701,5-Feb-19,0:37,8-Feb-19,0:56,8-Feb-19,1:45,,8-Feb-19,,,,,2:01,,8-Feb-19,axy worked well
24404,Rolo,NB,4-Feb-19,1,22:46:46,AM,4-Feb-19,22:47:14,15,,149.46,5-Feb-19,23:48,22-Feb-19,by 19:30,22-Feb-19,22:40,,22-Feb-19,,,,,already off,,6-Feb-19,axy worked for only 1 day
24271,Kloo,MP,4-Feb-19,1,22:48:00,AH,4-Feb-19,22:48:33,15,,149.37,5-Feb-19,1:34,9-Apr-19,11:00,17-Mar-19,already off,,9-Apr-19,,,,,17:38,,9-Apr-19,axy worked well
25686,Rolo,BO,4-Feb-19,1,22:48:56,HA,4-Feb-19,22:49:25,15,,149.319,5-Feb-19,23:35,18-Feb-19,0:35,18-Feb-19,1:30,,18-Feb-19,,,,,1:40,,18-Feb-19,"axy worked well, but MALE!!"
22847,Kloo,HB,6-Feb-19,1,23:10:13,HG,6-Feb-19,23:13:23,15,,149.03,8-Feb-19,0:53,20-Mar-19,0:50,17-Mar-19,already off,,20-Mar-19,,,,,0:53,,20-Mar-19,"Dennis GPS, axy worked well"
25253,Chad Bear,2,6-Feb-19,1,23:10:37,NB,6-Feb-19,23:15:28,15,,151.445,8-Feb-19,0:56,22-Feb-19,by 19:30,22-Feb-19,22:31,,22-Feb-19,,,,,already off,,12-Feb-19,"Dennis GPS, axy worked for only 4 days"
Not Deployed,,4,6-Feb-19,1,23:10:58,NF,6-Feb-19,23:16:02,15,,149.11,,,,,,,,,,,,,,,,Dennis GPS
24653,Kloo,5,6-Feb-19,1,23:11:24,AW,6-Feb-19,23:16:56,15,,149.34,7-Feb-19,1:38,22-Feb-19,by 19:30,22-Feb-19,22:28,,22-Feb-19,,,,,23:05,,22-Feb-19,"Dennis GPS, axy worked well"
25092,Kloo,NA,6-Feb-19,1,23:31:30,MK,6-Feb-19,23:32:25,15,,149.645,8-Feb-19,8:40,6-Apr-19,10:00,13-Mar-19,already off,,8-Apr-19,,,,,13:48,,8-Apr-19,axy worked well
25695,Jo,ET,8-Feb-19,1,22:03:50,ZA,8-Feb-19,22:06:06,15,,149.11,9-Feb-19,0:53,21-Mar-19,by 10:00,21-Mar-19,20:45,,21-Mar-19,,,,,20:30,,21-Mar-19,axy worked well
24547,Jo,SS Alb,8-Feb-19,1,22:04:20,4,8-Feb-19,22:18:40,15,,149.57,10-Feb-19,0:38,12-Mar-19,0:07,15-Feb-19,already off,,12-Mar-19,,,,,1:36,,12-Mar-19,"axy worked well, GPS didn't work well"
25297,Jo,HI,8-Feb-19,1,22:04:43,20,8-Feb-19,22:07:05,15,,149.701,10-Feb-19,0:58,,,,,,,,,,,,,,axy and GPS were damaged?
24693,Jo,4,8-Feb-19,1,22:05:03,MG,8-Feb-19,22:07:25,15,,149.665,10-Feb-19,1:03,21-Feb-19,17:30,21-Feb-19,19:05,,21-Feb-19,,,,,19:08,,21-Feb-19,axy worked well
24335,Kloo,XD,8-Feb-19,1,22:05:25,AI,8-Feb-19,22:07:49,15,,151.555,11-Feb-19,0:10,25-Feb-19,by 20:00,25-Feb-19,21:50,,25-Feb-19,,,,,21:59,,25-Feb-19,axy worked ell
Not Deployed,,EH,8-Feb-19,1,22:21:50,AC,8-Feb-19,22:21:30,15,,151.675,,,,,,,,,,,,,,,,Dennis GPS
24611,Kloo,CE alb,10-Feb-19,1,21:27:16,21,10-Feb-19,21:27:38,15,,151.535,11-Feb-19,0:15,19-Mar-19,18:15,19-Feb-19,already off,,19-Mar-19,,,,,18:45,,19-Mar-19,"axy worked well, GPS worked only 8-9 days"
25246,Jo,HJ alb,13-Feb-19,1,19:13:08,AF,13-Feb-19,19:13:25,15,,149.72,15-Feb-19,1:22,4-Mar-19,by 13:15,2-Mar-19,already off,,4-Mar-19,,,,,16:48,,4-Mar-19,axy worked well
25678,Jo,HD,14-Feb-19,1,19:06:11,TD,14-Feb-19,19:07:12,15,,149.814,15-Feb-19,0:36,24-Feb-19,by 20:00,24-Feb-19,22:00,,24-Feb-19,,,,,22:27,,24-Feb-19,"Dennis GPS, axy orked ell"
